z,DH_over_rd,sigma_DH_over_rd,reference
0.510,21.86294686,0.4288683248,DESI DR2 public BAO likelihood
0.706,19.45534918,0.3338700316,DESI DR2 public BAO likelihood
0.934,17.64149464,0.2010432486,DESI DR2 public BAO likelihood
1.321,14.17602155,0.2245513509,DESI DR2 public BAO likelihood
1.484,12.81699964,0.5180117692,DESI DR2 public BAO likelihood
